sbd,ten,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
1000425,Abigail,2.4,,2.6,5.75,,,,,
1000426,Oliver,3.8,5.5,,,,,5.75,4.75,
1000427,Ava,6.6,6.75,8.2,,,,8.75,8.75,7.75
1000428,Jackson,,5.75,,,,,6.5,7.25,
1000429,Samuel,,4.25,,,,,4.75,3.5,
1000430,James,,7.75,,,,,9.25,8.5,
1000431,Harper,,6.25,,,,,9,7.75,
1000432,Aiden,,7.75,,,,,9.5,8.5,
1000433,Emily,,6,,,,,8,8,
1000436,Jackson,,1.5,,,,,5.5,6.75,
1000437,Scarlett,,4.25,,,,,7,8.25,
1000438,Aiden,,5.5,,,,,5.25,7.75,
1000439,Oliver,5.4,5.75,,,,,6.5,6,
1000440,Henry,2.8,5.5,,,,,5,6.5,
1000441,Lucas,3.8,4.5,,,,,1.75,5,
1000442,Isabella,,6,,,,,5.25,6.5,
1000443,Charlotte,,3.75,,,,,2.5,7.5,
1000444,Emma,,5,,,,,6,7.5,
1000445,Scarlett,,7.75,,,,,9.75,8.75,
1000446,Jackson,,8,,,,,9.25,7.75,
1000447,Ava,,5.5,,,,,6.75,6.75,
1000448,Ava,,4,,,,,7,7.75,
1000449,Jackson,,5,,,,,8.25,9,
1000450,Benjamin,,5.25,,,,,6.25,7,
1000451,Mia,,3.75,,,,,8.25,6.75,
1000452,Olivia,,6,,,,,5.75,6.25,
1000453,Chloe,3,4,,,,,3.75,4.75,
1000454,Olivia,3.2,4.75,,,,,5,5.5,
